pae_min	sample
19.84	WAGO1_2L52.1_data
19.82	WAGO1_2L52.1_data
20.44	WAGO1_2L52.1_data
20.6	WAGO1_2L52.1_data
19.64	WAGO1_2L52.1_data
pae_min	sample
27.39	WAGO1_2O16_data
28.03	WAGO1_2O16_data
25.23	WAGO1_2O16_data
27.22	WAGO1_2O16_data
28.24	WAGO1_2O16_data
pae_min	sample
28.42	WAGO1_3A339_data
29.36	WAGO1_3A339_data
27.35	WAGO1_3A339_data
27.87	WAGO1_3A339_data
28.36	WAGO1_3A339_data
pae_min	sample
29.0	WAGO1_3E324_data
22.33	WAGO1_3E324_data
17.86	WAGO1_3E324_data
18.44	WAGO1_3E324_data
17.48	WAGO1_3E324_data
pae_min	sample
28.81	WAGO1_4D656_data
28.97	WAGO1_4D656_data
29.03	WAGO1_4D656_data
28.39	WAGO1_4D656_data
27.28	WAGO1_4D656_data
pae_min	sample
12.55	WAGO1_5H1_data
17.38	WAGO1_5H1_data
15.15	WAGO1_5H1_data
16.97	WAGO1_5H1_data
12.3	WAGO1_5H1_data
pae_min	sample
21.34	WAGO1_5N224_data
24.66	WAGO1_5N224_data
22.79	WAGO1_5N224_data
20.17	WAGO1_5N224_data
23.22	WAGO1_5N224_data
pae_min	sample
25.16	WAGO1_5N226_data
23.56	WAGO1_5N226_data
23.44	WAGO1_5N226_data
25.79	WAGO1_5N226_data
22.76	WAGO1_5N226_data
pae_min	sample
29.55	WAGO1_aagr-1_data
29.43	WAGO1_aagr-1_data
27.57	WAGO1_aagr-1_data
29.39	WAGO1_aagr-1_data
30.01	WAGO1_aagr-1_data
pae_min	sample
18.16	WAGO1_aagr-2_data
24.39	WAGO1_aagr-2_data
22.94	WAGO1_aagr-2_data
22.04	WAGO1_aagr-2_data
22.52	WAGO1_aagr-2_data
pae_min	sample
27.96	WAGO1_aagr-3_data
22.02	WAGO1_aagr-3_data
27.52	WAGO1_aagr-3_data
22.32	WAGO1_aagr-3_data
23.16	WAGO1_aagr-3_data
pae_min	sample
22.16	WAGO1_aagr-4_data
23.61	WAGO1_aagr-4_data
24.67	WAGO1_aagr-4_data
21.81	WAGO1_aagr-4_data
29.24	WAGO1_aagr-4_data
pae_min	sample
18.82	WAGO1_aaim-1_data
20.85	WAGO1_aaim-1_data
20.45	WAGO1_aaim-1_data
19.73	WAGO1_aaim-1_data
19.58	WAGO1_aaim-1_data
pae_min	sample
24.02	WAGO1_aak-1_data
17.94	WAGO1_aak-1_data
17.77	WAGO1_aak-1_data
27.8	WAGO1_aak-1_data
28.06	WAGO1_aak-1_data
pae_min	sample
7.39	WAGO1_aak-2_data
5.7	WAGO1_aak-2_data
5.6	WAGO1_aak-2_data
7.46	WAGO1_aak-2_data
6.01	WAGO1_aak-2_data
pae_min	sample
29.31	WAGO1_aakb-1_data
24.73	WAGO1_aakb-1_data
24.15	WAGO1_aakb-1_data
29.46	WAGO1_aakb-1_data
28.77	WAGO1_aakb-1_data
pae_min	sample
27.25	WAGO1_aakb-2_data
25.52	WAGO1_aakb-2_data
22.03	WAGO1_aakb-2_data
26.95	WAGO1_aakb-2_data
21.45	WAGO1_aakb-2_data
pae_min	sample
18.14	WAGO1_aakg-1_data
19.57	WAGO1_aakg-1_data
17.88	WAGO1_aakg-1_data
19.27	WAGO1_aakg-1_data
18.09	WAGO1_aakg-1_data
pae_min	sample
20.03	WAGO1_aakg-2_data
18.07	WAGO1_aakg-2_data
18.46	WAGO1_aakg-2_data
18.49	WAGO1_aakg-2_data
18.24	WAGO1_aakg-2_data
pae_min	sample
28.98	WAGO1_aakg-3_data
29.0	WAGO1_aakg-3_data
28.59	WAGO1_aakg-3_data
29.04	WAGO1_aakg-3_data
28.97	WAGO1_aakg-3_data
pae_min	sample
27.79	WAGO1_aakg-4_data
25.08	WAGO1_aakg-4_data
18.56	WAGO1_aakg-4_data
23.55	WAGO1_aakg-4_data
25.5	WAGO1_aakg-4_data
pae_min	sample
27.64	WAGO1_aakg-5_data
26.04	WAGO1_aakg-5_data
26.28	WAGO1_aakg-5_data
27.23	WAGO1_aakg-5_data
24.66	WAGO1_aakg-5_data
pae_min	sample
28.42	WAGO1_aap-1_data
22.31	WAGO1_aap-1_data
26.88	WAGO1_aap-1_data
28.06	WAGO1_aap-1_data
28.09	WAGO1_aap-1_data
pae_min	sample
19.82	WAGO1_aars-1_data
26.99	WAGO1_aars-1_data
27.81	WAGO1_aars-1_data
29.06	WAGO1_aars-1_data
22.18	WAGO1_aars-1_data
pae_min	sample
27.72	WAGO1_aars-2_data
29.76	WAGO1_aars-2_data
25.69	WAGO1_aars-2_data
26.74	WAGO1_aars-2_data
27.36	WAGO1_aars-2_data
pae_min	sample
30.42	WAGO1_aass-1_data
29.49	WAGO1_aass-1_data
27.79	WAGO1_aass-1_data
27.21	WAGO1_aass-1_data
26.41	WAGO1_aass-1_data
pae_min	sample
28.87	WAGO1_aat-1_data
29.83	WAGO1_aat-1_data
28.99	WAGO1_aat-1_data
29.54	WAGO1_aat-1_data
29.9	WAGO1_aat-1_data
pae_min	sample
16.56	WAGO1_aat-2_data
17.65	WAGO1_aat-2_data
17.0	WAGO1_aat-2_data
16.23	WAGO1_aat-2_data
17.42	WAGO1_aat-2_data
pae_min	sample
26.94	WAGO1_aat-3_data
26.15	WAGO1_aat-3_data
26.84	WAGO1_aat-3_data
26.45	WAGO1_aat-3_data
26.65	WAGO1_aat-3_data
pae_min	sample
23.17	WAGO1_aat-4_data
22.58	WAGO1_aat-4_data
24.13	WAGO1_aat-4_data
24.12	WAGO1_aat-4_data
24.4	WAGO1_aat-4_data
pae_min	sample
20.74	WAGO1_aat-5_data
20.88	WAGO1_aat-5_data
21.04	WAGO1_aat-5_data
19.92	WAGO1_aat-5_data
18.41	WAGO1_aat-5_data
pae_min	sample
26.05	WAGO1_aat-6_data
22.02	WAGO1_aat-6_data
18.33	WAGO1_aat-6_data
25.68	WAGO1_aat-6_data
22.26	WAGO1_aat-6_data
pae_min	sample
9.94	WAGO1_aat-7_data
10.11	WAGO1_aat-7_data
10.42	WAGO1_aat-7_data
10.22	WAGO1_aat-7_data
9.9	WAGO1_aat-7_data
pae_min	sample
27.14	WAGO1_aat-8_data
27.63	WAGO1_aat-8_data
27.59	WAGO1_aat-8_data
26.76	WAGO1_aat-8_data
26.13	WAGO1_aat-8_data
pae_min	sample
11.31	WAGO1_aat-9_data
5.79	WAGO1_aat-9_data
4.87	WAGO1_aat-9_data
10.22	WAGO1_aat-9_data
6.0	WAGO1_aat-9_data
pae_min	sample
8.82	WAGO1_aatf-1_data
8.78	WAGO1_aatf-1_data
9.28	WAGO1_aatf-1_data
8.65	WAGO1_aatf-1_data
8.64	WAGO1_aatf-1_data
